state,origin,ages_ranges,genders,behavior,expat_population_wave5,facebook_population_wave5,dest_state_fips,dest_state_name,dest_state_letter,dest_state_FB_code,origin_ACS_bpl,origin_ACS_name,origin_FB_code,sex,age_group,nof_foreign_born,nof_residents,frac_foreign_born
Alabama,Canada,ages_30_34,2,6019396764183,140,150000,1,Alabama,AL,3843,150,Canada,6019396764183,2,ages_30_34,247,146909,0.00168131292160453
Alabama,China,ages_30_34,2,6019452369983,140,150000,1,Alabama,AL,3843,500,China,6019452369983,2,ages_30_34,416,146909,0.0028316849205971
Alabama,France,ages_30_34,2,6019367014383,50,150000,1,Alabama,AL,3843,421,France,6019367014383,2,ages_30_34,0,146909,0.0
Alabama,Germany,ages_30_34,2,6019367052983,230,150000,1,Alabama,AL,3843,453,Germany,6019367052983,2,ages_30_34,1127,146909,0.00767141563825225
Alabama,Greece,ages_30_34,2,6023676017583,20,150000,1,Alabama,AL,3843,433,Greece,6023676017583,2,ages_30_34,0,146909,0.0
Alabama,Hungary,ages_30_34,2,6019396638383,20,150000,1,Alabama,AL,3843,454,Hungary,6019396638383,2,ages_30_34,0,146909,0.0
Alabama,India,ages_30_34,2,6016916298983,790,150000,1,Alabama,AL,3843,521,India,6016916298983,2,ages_30_34,450,146909,0.00306312070737668
Alabama,Indonesia,ages_30_34,2,6019564344583,90,150000,1,Alabama,AL,3843,512,Indonesia,6019564344583,2,ages_30_34,0,146909,0.0
Alabama,Ireland,ages_30_34,2,6019396650783,20,150000,1,Alabama,AL,3843,414,Ireland,6019396650783,2,ages_30_34,0,146909,0.0
Alabama,Israel,ages_30_34,2,6025000823583,40,150000,1,Alabama,AL,3843,534,Israel,6025000823583,2,ages_30_34,0,146909,0.0
Alabama,Italy,ages_30_34,2,6019396654583,50,150000,1,Alabama,AL,3843,434,Italy,6019396654583,2,ages_30_34,0,146909,0.0
Alabama,Japan,ages_30_34,2,6023676028783,50,150000,1,Alabama,AL,3843,501,Japan,6023676028783,2,ages_30_34,186,146909,0.00126608989238236
Alabama,KSA,ages_30_34,2,6025000813183,70,150000,1,Alabama,AL,3843,533,Saudi Arabia,6025000813183,2,ages_30_34,0,146909,0.0
Alabama,Malaysia,ages_30_34,2,6027147160983,20,150000,1,Alabama,AL,3843,514,Malaysia,6027147160983,2,ages_30_34,0,146909,0.0
Alabama,Mexico,ages_30_34,2,6023676072183,7300,150000,1,Alabama,AL,3843,200,Mexico,6023676072183,2,ages_30_34,5335,146909,0.0363149977196768
Alabama,Nepal,ages_30_34,2,6023356955383,90,150000,1,Alabama,AL,3843,524,Nepal,6023356955383,2,ages_30_34,165,146909,0.00112314425937145
Alabama,Philippines,ages_30_34,2,6018797091183,250,150000,1,Alabama,AL,3843,515,Philippines,6018797091183,2,ages_30_34,0,146909,0.0
Alabama,Poland,ages_30_34,2,6019396657183,30,150000,1,Alabama,AL,3843,455,Poland,6019396657183,2,ages_30_34,0,146909,0.0
Alabama,Portugal,ages_30_34,2,6021354882783,20,150000,1,Alabama,AL,3843,436,Portugal,6021354882783,2,ages_30_34,0,146909,0.0
Alabama,Puerto Rico,ages_30_34,2,6019520122583,410,150000,1,Alabama,AL,3843,110,Puerto Rico,6019520122583,2,ages_30_34,269,146909,0.00183106548952072
Alabama,Romania,ages_30_34,2,6027148962983,20,150000,1,Alabama,AL,3843,456,Romania,6027148962983,2,ages_30_34,0,146909,0.0
Alabama,Russia,ages_30_34,2,6025000815983,40,150000,1,Alabama,AL,3843,465,Russia,6025000815983,2,ages_30_34,92,146909,0.0006262380112858981
Alabama,Singapore,ages_30_34,2,6023516403783,20,150000,1,Alabama,AL,3843,516,Singapore,6023516403783,2,ages_30_34,0,146909,0.0
Alabama,South Korea,ages_30_34,2,6027148973583,190,150000,1,Alabama,AL,3843,502,South Korea,6027148973583,2,ages_30_34,223,146909,0.00151794648387777
Alabama,Spain,ages_30_34,2,6019366943583,40,150000,1,Alabama,AL,3843,438,Spain,6019366943583,2,ages_30_34,84,146909,0.000571782532043646
Alabama,UAE,ages_30_34,2,6023516430783,20,150000,1,Alabama,AL,3843,543,UAE,6023516430783,2,ages_30_34,0,146909,0.0
Alabama,United Kingdom,ages_30_34,2,6021354152983,260,150000,1,Alabama,AL,3843,413,UK,6021354152983,2,ages_30_34,0,146909,0.0
Alabama,Vietnam,ages_30_34,2,6027149006383,200,150000,1,Alabama,AL,3843,518,Vietnam,6027149006383,2,ages_30_34,214,146909,0.00145668406973024
Alabama,Australia,ages_35_39,2,6021354857783,50,130000,1,Alabama,AL,3843,700,Australia,6021354857783,2,ages_35_39,0,148624,0.0
Alabama,Austria,ages_35_39,2,6023675997383,20,130000,1,Alabama,AL,3843,450,Austria,6023675997383,2,ages_35_39,0,148624,0.0
Alabama,Canada,ages_35_39,2,6019396764183,150,130000,1,Alabama,AL,3843,150,Canada,6019396764183,2,ages_35_39,173,148624,0.0011640111960383199
Alabama,China,ages_35_39,2,6019452369983,80,130000,1,Alabama,AL,3843,500,China,6019452369983,2,ages_35_39,541,148624,0.0036400581332759205
Alabama,France,ages_35_39,2,6019367014383,50,130000,1,Alabama,AL,3843,421,France,6019367014383,2,ages_35_39,0,148624,0.0
Alabama,Germany,ages_35_39,2,6019367052983,160,130000,1,Alabama,AL,3843,453,Germany,6019367052983,2,ages_35_39,537,148624,0.00361314457961029
Alabama,Greece,ages_35_39,2,6023676017583,20,130000,1,Alabama,AL,3843,433,Greece,6023676017583,2,ages_35_39,0,148624,0.0
Alabama,Hungary,ages_35_39,2,6019396638383,20,130000,1,Alabama,AL,3843,454,Hungary,6019396638383,2,ages_35_39,0,148624,0.0
Alabama,India,ages_35_39,2,6016916298983,610,130000,1,Alabama,AL,3843,521,India,6016916298983,2,ages_35_39,103,148624,0.0006930240068898701
Alabama,Indonesia,ages_35_39,2,6019564344583,80,130000,1,Alabama,AL,3843,512,Indonesia,6019564344583,2,ages_35_39,0,148624,0.0
Alabama,Ireland,ages_35_39,2,6019396650783,20,130000,1,Alabama,AL,3843,414,Ireland,6019396650783,2,ages_35_39,0,148624,0.0
Alabama,Israel,ages_35_39,2,6025000823583,30,130000,1,Alabama,AL,3843,534,Israel,6025000823583,2,ages_35_39,0,148624,0.0
Alabama,Italy,ages_35_39,2,6019396654583,50,130000,1,Alabama,AL,3843,434,Italy,6019396654583,2,ages_35_39,169,148624,0.0011370976423727
Alabama,Japan,ages_35_39,2,6023676028783,60,130000,1,Alabama,AL,3843,501,Japan,6023676028783,2,ages_35_39,92,148624,0.000619011734309398
